City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Hobart,AU,2020-09-04 18:36:35,-42.88,147.33,50.0,66,40,12.75
71,Kapaa,US,2020-09-04 18:37:08,22.08,-159.32,73.4,100,90,8.05
72,Luxor,EG,2020-09-04 18:37:08,25.7,32.64,100.4,19,9,4.7
73,Bengkulu,ID,2020-09-04 18:37:08,-3.8,102.27,75.63,90,91,4.27
74,Raga,SS,2020-09-04 18:37:08,8.46,25.68,71.56,93,92,3.44
75,Anchorage,US,2020-09-04 18:32:31,61.22,-149.9,51.8,70,1,1.1
76,Qaanaaq,GL,2020-09-04 18:37:09,77.48,-69.36,28.63,85,0,2.3
77,Atuona,PF,2020-09-04 18:37:09,-9.8,-139.03,78.94,78,18,22.62
78,Mataura,NZ,2020-09-04 18:37:09,-46.19,168.86,45.0,72,0,11.01
79,Manaure,CO,2020-09-04 18:37:10,11.78,-72.44,87.66,66,57,10.85
80,Bluff,NZ,2020-09-04 18:37:10,-46.6,168.33,45.0,72,11,11.01
81,Nantucket,US,2020-09-04 18:37:10,41.28,-70.1,78.8,74,1,10.29
82,Leh,IN,2020-09-04 18:37:10,34.17,77.58,55.09,52,18,4.05
83,Albany,US,2020-09-04 18:36:52,42.6,-73.97,75.99,40,3,9.42
84,Mackay,AU,2020-09-04 18:35:02,-21.15,149.2,64.4,93,90,8.05
85,Saint-Francois,FR,2020-09-04 18:37:11,46.42,3.91,84.2,35,0,1.12
86,Saskylakh,RU,2020-09-04 18:37:11,71.92,114.08,43.43,92,100,15.28
87,Souillac,MU,2020-09-04 18:37:11,-20.52,57.52,68.0,72,75,14.99
88,New Norfolk,AU,2020-09-04 18:37:12,-42.78,147.06,48.99,70,52,1.99
89,Norman Wells,CA,2020-09-04 18:37:12,65.28,-126.83,48.2,87,75,2.24
90,Xuddur,SO,2020-09-04 18:37:12,4.12,43.89,76.98,56,41,21.5
91,Butaritari,KI,2020-09-04 18:37:12,3.07,172.79,82.38,70,1,5.39
92,Sabang,ID,2020-09-04 18:37:12,5.89,95.32,82.6,76,100,12.59
93,Ciocarlia,RO,2020-09-04 18:37:13,44.1,28.28,62.6,93,90,18.34
94,Carnarvon,AU,2020-09-04 18:37:13,-24.87,113.63,64.4,93,0,11.41
