City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
542,Havre-Saint-Pierre,50.23,-63.6,57.2,76,75,12.75,broken clouds
543,Linkou,45.3,130.28,61.14,85,100,0.85,overcast clouds
544,Uni,57.75,51.49,54.01,82,86,5.73,overcast clouds
545,Springdale,36.19,-94.13,81.0,88,1,6.93,clear sky
546,Mazyr,52.05,29.25,69.73,64,100,4.09,overcast clouds
547,Gikongoro,-2.46,29.57,64.65,73,100,4.03,light rain
548,Yulara,-25.24,130.99,73.4,20,0,4.7,clear sky
549,Portel,-1.94,-50.82,96.49,37,3,5.19,clear sky
550,Vancouver,49.25,-123.12,63.0,87,75,2.24,broken clouds
551,Bougouni,11.42,-7.48,80.65,81,96,2.8,light rain
552,Jumla,29.27,82.18,59.72,70,3,2.08,clear sky
553,Pont-A-Mousson,48.91,6.06,69.8,35,94,9.17,overcast clouds
554,Placido De Castro,-10.34,-67.19,103.46,24,100,3.09,overcast clouds
555,Poykovskiy,61.23,73.33,48.2,100,90,6.71,overcast clouds
556,Portland,45.52,-122.68,63.0,87,20,3.02,few clouds
557,Sola,-13.88,167.55,79.34,85,93,22.59,overcast clouds
558,Kudahuvadhoo,2.67,72.89,82.98,73,100,10.92,overcast clouds
559,Padang,-0.95,100.35,78.35,78,60,4.72,broken clouds
560,Kerchevskiy,59.95,56.29,53.55,89,35,4.21,scattered clouds
561,Najran,17.49,44.13,91.4,19,0,9.17,clear sky
562,Kamenka,51.32,42.77,71.01,31,4,8.77,clear sky
563,Nioro,13.35,-15.75,78.62,88,94,8.43,light rain
564,Binzhou,37.37,118.02,80.01,66,1,2.35,light rain
565,Shelburne,44.08,-80.2,64.99,59,20,4.7,few clouds
566,Colac,-38.33,143.58,50.0,80,93,1.01,overcast clouds
567,Parkes,-33.13,148.18,48.99,80,13,7.78,few clouds
568,Changji,44.02,87.32,71.6,40,98,6.71,overcast clouds
569,Vanimo,-2.67,141.3,78.26,84,83,6.08,broken clouds
570,Teknaf,20.86,92.31,81.19,78,100,1.07,light rain
571,Cap Malheureux,-19.98,57.61,73.0,71,37,5.99,scattered clouds
